country_name,iso3c,volatility,mean_democracy,n_years,total_decline,avg_decline,n_declines,had_backsliding,n_episodes
Burundi,BDI,0.04943666347613048,0.11437499999999999,24,0.16800000000000004,0.012923076923076924,13,FALSE,0
Cambodia,KHM,0.025349584794930317,0.10358333333333333,24,0.07300000000000001,0.004866666666666667,15,FALSE,0
Cameroon,CMR,0.013070599822125413,0.14816666666666667,24,0.06300000000000003,0.005250000000000003,12,FALSE,0
Canada,CAN,0.008866154501934537,0.7565,24,0.07600000000000007,0.006333333333333338,12,FALSE,0
Cape Verde,CPV,0.018189621184636545,0.6944166666666667,24,0.08199999999999996,0.009111111111111108,9,FALSE,0
Central African Republic,CAF,0.03829611457190335,0.184375,24,0.31,0.034444444444444444,9,TRUE,0
Chad,TCD,0.016576349487110863,0.08841666666666667,24,0.07400000000000001,0.0073999999999999995,10,FALSE,0
Chile,CHL,0.02757752576893422,0.8194583333333333,24,0.09499999999999997,0.018999999999999996,5,FALSE,0
China,CHN,0.009806737553808368,0.05354166666666666,24,0.038,0.0034545454545454545,11,FALSE,0
Colombia,COL,0.0523011763106554,0.49875,24,0.06600000000000006,0.009428571428571437,7,FALSE,0
Comoros,COM,0.0722607998046368,0.20233333333333334,24,0.21399999999999997,0.019454545454545457,11,TRUE,0
Costa Rica,CRI,0.01379974532426205,0.8464583333333333,24,0.07599999999999996,0.007599999999999996,10,FALSE,0
Croatia,HRV,0.04251206137461273,0.6586666666666666,24,0.18000000000000005,0.01384615384615385,13,FALSE,0
Cuba,CUB,0.007991730327231293,0.049958333333333334,24,0.012000000000000004,0.0020000000000000005,6,FALSE,0
Cyprus,CYP,0.03078949346451509,0.7065833333333333,48,0.11599999999999999,0.008285714285714285,14,FALSE,0
Czechia,CZE,0.04074194149892036,0.7890833333333334,24,0.1399999999999999,0.015555555555555545,9,FALSE,0
Democratic Republic of the Congo,COD,0.03286067977632718,0.12354166666666666,24,0.07400000000000001,0.008222222222222223,9,FALSE,0
Denmark,DNK,0.006133774401279947,0.8911666666666667,24,0.018000000000000016,0.002571428571428574,7,FALSE,0
Djibouti,DJI,0.0037522939843417803,0.11708333333333333,24,0.018000000000000002,0.0018000000000000002,10,FALSE,0
Dominican Republic,DOM,0.045654479755431784,0.342625,24,0.10099999999999992,0.006312499999999995,16,FALSE,0
Ecuador,ECU,0.08255642558757677,0.39279166666666665,24,0.26499999999999996,0.02208333333333333,12,TRUE,0
Egypt,EGY,0.023277002396780176,0.13508333333333333,24,0.122,0.01525,8,TRUE,0
El Salvador,SLV,0.10297247943863025,0.357125,24,0.367,0.04587499999999999,8,TRUE,0
Equatorial Guinea,GNQ,0.0017856107630448033,0.05216666666666667,24,0.01199999999999999,0.001714285714285713,7,FALSE,0
Eritrea,ERI,0.005131424922877704,0.008375,24,0.026000000000000002,0.004333333333333333,6,FALSE,0
Estonia,EST,0.019990894666452954,0.831625,24,0.028000000000000025,0.0040000000000000036,7,FALSE,0
Eswatini,SWZ,0.005540202214694889,0.09720833333333334,24,0.024000000000000007,0.004800000000000001,5,FALSE,0
Ethiopia,ETH,0.01599161918187058,0.11591666666666667,24,0.07200000000000001,0.006,12,FALSE,0
Fiji,FJI,0.10006098683781069,0.230875,24,0.325,0.0361111111111111,9,TRUE,0
Finland,FIN,0.007823112357401104,0.838625,24,0.04800000000000004,0.008000000000000007,6,FALSE,0
France,FRA,0.010056362900303864,0.8055,24,0.03699999999999992,0.005285714285714275,7,FALSE,0
Gabon,GAB,0.011615831275973498,0.20966666666666667,24,0.04999999999999999,0.012499999999999997,4,FALSE,0
Georgia,GEO,0.1025294231364619,0.39125,24,0.125,0.015625,8,FALSE,0
Germany,DEU,0.01880082483543617,0.8490833333333333,24,0.07399999999999995,0.008222222222222218,9,FALSE,0
Ghana,GHA,0.03277788115106929,0.6272916666666667,24,0.139,0.012636363636363637,11,FALSE,0
Greece,GRC,0.0688084402473662,0.7694166666666666,24,0.24,0.019999999999999997,12,TRUE,0
Guatemala,GTM,0.03701857641779328,0.390125,24,0.17700000000000005,0.019666666666666673,9,FALSE,0
